frequencia_id,matricula_id,data_aula,status
1,1,2025-09-10,Presente
2,1,2025-09-03,Presente
3,1,2025-08-27,Presente
4,1,2025-08-20,Presente
5,1,2025-08-13,Presente
6,2,2025-09-10,Presente
7,2,2025-09-03,Presente
8,2,2025-08-27,Presente
9,2,2025-08-20,Falta
10,2,2025-08-13,Presente
11,3,2025-09-10,Falta
12,3,2025-09-03,Falta
13,3,2025-08-27,Presente
14,3,2025-08-20,Presente
15,3,2025-08-13,Presente
16,4,2025-09-10,Presente
17,4,2025-09-03,Presente
18,4,2025-08-27,Presente
19,4,2025-08-20,Presente
20,4,2025-08-13,Presente
21,5,2025-09-10,Presente
22,5,2025-09-03,Presente
23,5,2025-08-27,Presente
24,5,2025-08-20,Presente
25,5,2025-08-13,Presente
26,6,2025-09-10,Presente
27,6,2025-09-03,Presente
28,6,2025-08-27,Falta
29,6,2025-08-20,Presente
30,6,2025-08-13,Falta
31,7,2025-09-10,Presente
32,7,2025-09-03,Presente
33,7,2025-08-27,Presente
34,7,2025-08-20,Presente
35,7,2025-08-13,Falta
36,8,2025-09-10,Presente
37,8,2025-09-03,Presente
38,8,2025-08-27,Falta
39,8,2025-08-20,Presente
40,8,2025-08-13,Presente
41,9,2025-09-10,Falta
42,9,2025-09-03,Presente
43,9,2025-08-27,Presente
44,9,2025-08-20,Presente
45,9,2025-08-13,Presente
46,10,2025-09-10,Presente
47,10,2025-09-03,Presente
48,10,2025-08-27,Presente
49,10,2025-08-20,Presente
50,10,2025-08-13,Presente
51,11,2025-09-10,Presente
52,11,2025-09-03,Presente
53,11,2025-08-27,Falta
54,11,2025-08-20,Falta
55,11,2025-08-13,Presente
56,12,2025-09-10,Presente
57,12,2025-09-03,Presente
58,12,2025-08-27,Presente
59,12,2025-08-20,Presente
60,12,2025-08-13,Presente
61,13,2025-09-10,Presente
62,13,2025-09-03,Presente
63,13,2025-08-27,Presente
64,13,2025-08-20,Presente
65,13,2025-08-13,Presente
66,14,2025-09-10,Presente
67,14,2025-09-03,Presente
68,14,2025-08-27,Presente
69,14,2025-08-20,Presente
70,14,2025-08-13,Presente
71,15,2025-09-10,Presente
