id_matricula,id_aluno,id_turma
1,326,108
2,326,293
3,326,34
4,326,292
5,326,236
6,326,265
7,326,82
8,327,140
9,327,199
10,327,91
11,327,47
12,327,68
13,327,137
14,328,197
15,328,101
16,328,104
17,328,16
18,328,283
19,328,63
20,328,232
21,328,242
22,328,229
23,328,84
24,329,41
25,329,9
26,329,222
27,329,58
28,329,228
29,329,72
30,329,128
31,329,175
32,329,92
33,330,272
34,330,19
35,330,193
36,330,142
37,330,30
38,330,154
39,331,125
40,331,257
41,331,180
42,331,83
43,331,240
44,331,287
45,331,37
46,331,16
47,331,100
48,332,129
49,332,186
50,332,258
51,332,246
52,332,224
53,332,32
54,332,157
55,332,265
56,332,247
57,332,144
58,333,220
59,333,270
60,333,105
61,333,251
62,333,70
63,333,262
64,333,140
65,334,91
66,334,66
67,334,68
68,334,280
69,334,50
70,334,190
71,334,76
72,334,188
73,334,248
74,335,290
75,335,115
76,335,169
77,335,80
78,335,279
79,335,286
80,335,141
81,335,295
82,335,103
83,335,166
84,336,282
85,336,209
86,336,54
87,336,247
88,336,295
89,336,43
90,336,52
91,336,91
92,337,159
93,337,106
94,337,290
95,337,142
96,337,23
97,337,228
98,337,29
99,337,251
100,338,200
101,338,72
102,338,95
103,338,283
104,338,112
105,338,110
106,338,197
107,339,157
108,339,27
109,339,108
110,339,92
111,339,107
112,339,197
113,340,260
114,340,254
115,340,74
116,340,170
117,340,187
118,340,300
119,340,225
120,341,40
121,341,289
122,341,50
123,341,94
124,341,103
125,341,23
126,341,230
127,341,171
128,342,279
129,342,249
130,342,98
131,342,3
132,342,201
133,342,294
134,342,283
135,342,49
136,343,213
137,343,227
138,343,274
139,343,237
140,343,35
141,343,299
142,343,232
143,343,268
144,343,90
145,344,262
146,344,238
147,344,224
148,344,167
149,344,240
150,344,2
151,344,195
152,345,97
153,345,1
154,345,30
155,345,286
156,345,114
157,345,231
158,345,253
159,345,163
160,346,92
161,346,122
162,346,66
163,346,300
164,346,25
165,346,51
166,346,41
167,346,288
168,346,100
169,346,135
170,347,187
171,347,133
172,347,88
173,347,2
174,347,125
175,347,86
176,347,26
177,347,167
178,347,96
179,348,63
180,348,81
181,348,58
182,348,172
183,348,200
184,348,33
185,348,65
186,348,11
187,348,274
188,348,221
189,349,7
190,349,63
191,349,115
192,349,221
193,349,136
194,349,264
195,349,166
196,349,161
197,349,266
198,350,125
199,350,282
200,350,290
201,350,14
202,350,55
203,350,299
204,350,248
205,351,202
206,351,75
207,351,10
208,351,158
209,351,39
210,351,52
211,351,196
212,351,133
213,351,33
214,352,118
215,352,178
216,352,282
217,352,182
218,352,35
219,352,184
220,352,115
221,352,82
222,352,91
223,353,121
224,353,252
225,353,82
226,353,70
227,353,58
228,353,249
229,353,174
230,354,253
231,354,241
232,354,47
233,354,83
234,354,37
235,354,289
236,354,116
237,355,235
238,355,244
239,355,133
240,355,9
241,355,201
242,355,37
243,355,156
244,355,200
245,355,8
246,356,129
247,356,266
248,356,155
249,356,286
250,356,27
251,356,254
252,356,269
253,356,218
254,357,74
255,357,101
256,357,104
257,357,5
258,357,18
259,357,175
260,357,154
261,357,165
262,357,53
263,357,108
264,358,200
265,358,244
266,358,30
267,358,68
268,358,143
269,358,19
270,358,265
271,358,104
272,358,149
273,359,250
274,359,299
275,359,55
276,359,44
277,359,7
278,359,289
279,360,243
280,360,114
281,360,44
282,360,280
283,360,29
284,360,182
285,360,17
286,360,151
287,360,266
288,361,174
289,361,59
290,361,69
291,361,117
292,361,292
293,361,173
294,362,11
295,362,38
296,362,231
297,362,41
298,362,9
299,362,34
300,362,124
301,362,268
302,362,264
303,362,76
304,363,266
305,363,148
306,363,86
307,363,275
308,363,65
309,363,296
310,363,199
311,363,43
312,363,122
313,364,130
314,364,50
315,364,115
316,364,143
317,364,204
318,364,15
319,364,62
320,364,289
321,364,102
322,364,124
323,365,211
324,365,281
325,365,202
326,365,247
327,365,123
328,365,194
329,366,27
330,366,174
331,366,166
332,366,60
333,366,175
334,366,131
335,366,159
336,366,158
337,366,227
338,367,294
339,367,291
340,367,62
341,367,212
342,367,94
343,367,195
344,367,248
345,367,157
346,367,258
347,368,259
348,368,155
349,368,148
350,368,117
351,368,245
352,368,58
353,368,257
354,369,222
355,369,65
356,369,221
357,369,248
358,369,279
359,369,205
360,369,219
361,369,289
362,370,104
363,370,190
364,370,146
365,370,135
366,370,49
367,370,42
368,370,191
369,371,236
370,371,82
371,371,78
372,371,3
373,371,274
374,371,140
375,371,134
376,371,213
377,371,272
378,372,298
379,372,7
380,372,187
381,372,189
382,372,42
383,372,124
384,373,292
385,373,129
386,373,91
387,373,89
388,373,230
389,373,252
390,374,278
391,374,266
392,374,144
393,374,300
394,374,279
395,374,189
396,375,32
397,375,196
398,375,93
399,375,98
400,375,214
401,375,295
402,375,58
