id_nota,id_matricula,tipo_avaliacao,valor_nota
1,1,P1,5.6
2,1,P2,6.1
3,2,P1,3.1
4,2,P2,3.9
5,3,P1,7.6
6,3,P2,9.2
7,4,P1,9.4
8,4,P2,5.9
9,5,P1,9.7
10,5,P2,8.1
11,6,P1,7.8
12,6,P2,6.0
13,7,P1,8.8
14,7,P2,5.4
15,8,P1,3.6
16,8,P2,8.2
17,9,P1,4.1
18,9,P2,3.3
19,10,P1,3.3
20,10,P2,9.8
21,11,P1,8.5
22,11,P2,8.4
23,12,P1,3.4
24,12,P2,9.2
25,13,P1,6.7
26,13,P2,4.5
27,14,P1,6.8
28,14,P2,8.7
29,15,P1,6.8
30,15,P2,5.0
31,16,P1,5.2
32,16,P2,8.4
33,17,P1,9.3
34,17,P2,7.2
35,18,P1,5.3
36,18,P2,6.8
37,19,P1,5.2
38,19,P2,8.2
39,20,P1,4.6
40,20,P2,4.9
41,21,P1,9.3
42,21,P2,8.7
43,22,P1,6.7
44,22,P2,5.9
45,23,P1,4.1
46,23,P2,3.9
47,24,P1,3.2
48,24,P2,6.9
49,25,P1,6.8
50,25,P2,9.8
51,26,P1,5.2
52,26,P2,6.8
53,27,P1,3.2
54,27,P2,4.6
55,28,P1,4.3
56,28,P2,4.2
57,29,P1,8.9
58,29,P2,4.9
59,30,P1,9.7
60,30,P2,4.1
61,31,P1,4.0
62,31,P2,9.5
63,32,P1,3.2
64,32,P2,6.8
65,33,P1,9.4
66,33,P2,5.8
67,34,P1,6.3
68,34,P2,3.2
69,35,P1,6.3
70,35,P2,5.0
71,36,P1,6.1
72,36,P2,3.1
73,37,P1,8.3
74,37,P2,7.2
75,38,P1,6.0
76,38,P2,9.9
77,39,P1,9.6
78,39,P2,4.7
79,40,P1,9.9
80,40,P2,3.5
81,41,P1,4.7
82,41,P2,6.5
83,42,P1,7.9
84,42,P2,5.2
85,43,P1,7.8
86,43,P2,10.0
87,44,P1,4.5
88,44,P2,6.5
89,45,P1,4.1
90,45,P2,3.5
91,46,P1,5.9
92,46,P2,8.7
93,47,P1,5.2
94,47,P2,7.9
95,48,P1,3.3
96,48,P2,8.3
97,49,P1,4.6
98,49,P2,8.3
99,50,P1,6.0
100,50,P2,5.1
101,51,P1,6.6
102,51,P2,8.8
103,52,P1,8.5
104,52,P2,9.6
105,53,P1,5.5
106,53,P2,6.4
107,54,P1,4.7
108,54,P2,7.4
109,55,P1,6.1
110,55,P2,8.3
111,56,P1,3.9
112,56,P2,8.8
113,57,P1,3.8
114,57,P2,4.1
115,58,P1,8.1
116,58,P2,3.4
117,59,P1,7.3
118,59,P2,4.7
119,60,P1,5.3
120,60,P2,9.8
121,61,P1,8.0
122,61,P2,5.0
123,62,P1,5.0
124,62,P2,7.2
125,63,P1,8.0
126,63,P2,4.0
127,64,P1,5.4
128,64,P2,7.1
129,65,P1,5.6
130,65,P2,8.4
131,66,P1,3.9
132,66,P2,3.6
133,67,P1,6.8
134,67,P2,9.2
135,68,P1,6.3
136,68,P2,7.3
137,69,P1,6.1
138,69,P2,5.4
139,70,P1,4.6
140,70,P2,5.0
141,71,P1,3.3
142,71,P2,8.7
143,72,P1,7.7
144,72,P2,4.1
145,73,P1,6.7
146,73,P2,4.5
147,74,P1,9.7
148,74,P2,9.9
149,75,P1,8.7
150,75,P2,4.2
151,76,P1,4.9
152,76,P2,8.7
153,77,P1,7.1
154,77,P2,5.9
155,78,P1,6.1
156,78,P2,4.3
157,79,P1,3.3
158,79,P2,5.1
159,80,P1,4.2
160,80,P2,7.9
161,81,P1,8.9
162,81,P2,6.0
163,82,P1,4.2
164,82,P2,6.4
165,83,P1,7.6
166,83,P2,9.1
167,84,P1,8.6
168,84,P2,9.8
169,85,P1,6.4
170,85,P2,3.9
171,86,P1,8.5
172,86,P2,4.1
173,87,P1,4.0
174,87,P2,6.4
175,88,P1,9.6
176,88,P2,4.6
177,89,P1,7.8
178,89,P2,5.3
179,90,P1,5.3
180,90,P2,8.1
181,91,P1,4.6
182,91,P2,7.3
183,92,P1,5.8
184,92,P2,4.4
185,93,P1,4.6
186,93,P2,7.5
187,94,P1,3.4
188,94,P2,4.9
189,95,P1,8.7
190,95,P2,3.0
191,96,P1,5.4
192,96,P2,8.0
193,97,P1,7.2
194,97,P2,7.6
195,98,P1,8.6
196,98,P2,7.7
197,99,P1,3.2
198,99,P2,9.6
199,100,P1,6.0
200,100,P2,8.4
201,101,P1,6.3
202,101,P2,9.6
203,102,P1,9.1
204,102,P2,7.0
205,103,P1,8.7
206,103,P2,8.4
207,104,P1,4.2
208,104,P2,9.2
209,105,P1,9.4
210,105,P2,3.5
211,106,P1,7.4
212,106,P2,4.9
213,107,P1,9.6
214,107,P2,7.2
215,108,P1,9.7
216,108,P2,8.4
217,109,P1,4.1
218,109,P2,6.3
219,110,P1,7.7
220,110,P2,5.4
221,111,P1,8.2
222,111,P2,5.9
223,112,P1,7.3
224,112,P2,3.1
225,113,P1,7.9
226,113,P2,4.9
227,114,P1,7.4
228,114,P2,6.8
229,115,P1,7.5
230,115,P2,9.4
231,116,P1,5.5
232,116,P2,4.5
233,117,P1,9.1
234,117,P2,3.2
235,118,P1,8.6
236,118,P2,4.0
237,119,P1,6.2
238,119,P2,5.6
239,120,P1,8.7
240,120,P2,5.9
241,121,P1,8.9
242,121,P2,4.4
243,122,P1,3.2
244,122,P2,7.8
245,123,P1,9.3
246,123,P2,7.4
247,124,P1,4.9
248,124,P2,9.8
249,125,P1,5.3
250,125,P2,6.8
251,126,P1,6.9
252,126,P2,7.5
253,127,P1,4.9
254,127,P2,9.8
255,128,P1,8.9
256,128,P2,6.0
257,129,P1,6.0
258,129,P2,7.3
259,130,P1,8.3
260,130,P2,7.3
261,131,P1,9.6
262,131,P2,7.2
263,132,P1,9.5
264,132,P2,8.0
265,133,P1,6.3
266,133,P2,3.8
267,134,P1,3.8
268,134,P2,9.2
269,135,P1,8.7
270,135,P2,7.9
271,136,P1,5.0
272,136,P2,7.5
273,137,P1,3.5
274,137,P2,4.0
275,138,P1,7.4
276,138,P2,6.8
277,139,P1,8.2
278,139,P2,9.6
279,140,P1,9.7
280,140,P2,7.3
281,141,P1,6.6
282,141,P2,7.8
283,142,P1,6.0
284,142,P2,4.7
285,143,P1,7.0
286,143,P2,5.9
287,144,P1,4.0
288,144,P2,4.0
289,145,P1,9.5
290,145,P2,9.0
291,146,P1,8.1
292,146,P2,3.1
293,147,P1,6.2
294,147,P2,9.2
295,148,P1,9.6
296,148,P2,3.3
297,149,P1,3.9
298,149,P2,8.4
299,150,P1,8.1
300,150,P2,3.6
301,151,P1,8.3
302,151,P2,7.3
303,152,P1,7.9
304,152,P2,4.6
305,153,P1,6.6
306,153,P2,7.7
307,154,P1,9.6
308,154,P2,4.3
309,155,P1,5.1
310,155,P2,9.9
311,156,P1,4.3
312,156,P2,6.9
313,157,P1,8.5
314,157,P2,5.3
315,158,P1,4.0
316,158,P2,5.0
317,159,P1,7.5
318,159,P2,7.1
319,160,P1,8.1
320,160,P2,7.9
321,161,P1,6.8
322,161,P2,6.7
323,162,P1,8.0
324,162,P2,5.8
325,163,P1,9.4
326,163,P2,3.1
327,164,P1,3.3
328,164,P2,4.0
329,165,P1,8.7
330,165,P2,4.9
331,166,P1,7.2
332,166,P2,4.2
333,167,P1,9.7
334,167,P2,8.8
335,168,P1,8.1
336,168,P2,9.7
337,169,P1,9.7
338,169,P2,7.3
339,170,P1,4.1
340,170,P2,5.0
341,171,P1,8.3
342,171,P2,6.2
343,172,P1,9.6
344,172,P2,7.0
345,173,P1,4.2
346,173,P2,4.5
347,174,P1,6.6
348,174,P2,6.3
349,175,P1,4.7
350,175,P2,6.7
351,176,P1,6.3
352,176,P2,4.6
353,177,P1,3.9
354,177,P2,5.8
355,178,P1,7.4
356,178,P2,6.0
357,179,P1,7.9
358,179,P2,5.1
359,180,P1,7.8
360,180,P2,5.7
361,181,P1,6.3
362,181,P2,9.5
363,182,P1,6.6
364,182,P2,9.3
365,183,P1,6.4
366,183,P2,6.6
367,184,P1,4.5
368,184,P2,9.8
369,185,P1,5.1
370,185,P2,3.6
371,186,P1,6.6
372,186,P2,5.6
373,187,P1,9.6
374,187,P2,8.9
375,188,P1,7.2
376,188,P2,6.5
377,189,P1,7.2
378,189,P2,7.4
379,190,P1,3.0
380,190,P2,9.8
381,191,P1,3.0
382,191,P2,6.8
383,192,P1,5.8
384,192,P2,5.7
385,193,P1,7.9
386,193,P2,7.0
387,194,P1,8.6
388,194,P2,5.2
389,195,P1,8.6
390,195,P2,3.2
391,196,P1,6.8
392,196,P2,4.5
393,197,P1,5.2
394,197,P2,7.8
395,198,P1,5.4
396,198,P2,8.4
397,199,P1,3.8
398,199,P2,4.4
399,200,P1,8.6
400,200,P2,9.2
401,201,P1,8.7
402,201,P2,3.2
403,202,P1,8.8
404,202,P2,4.7
405,203,P1,6.7
406,203,P2,6.9
407,204,P1,3.0
408,204,P2,4.9
409,205,P1,7.5
410,205,P2,5.2
411,206,P1,6.7
412,206,P2,8.5
413,207,P1,8.4
414,207,P2,5.4
415,208,P1,8.5
416,208,P2,7.5
417,209,P1,6.4
418,209,P2,4.7
419,210,P1,5.8
420,210,P2,8.6
421,211,P1,9.7
422,211,P2,5.1
423,212,P1,8.3
424,212,P2,8.3
425,213,P1,7.4
426,213,P2,8.8
427,214,P1,4.7
428,214,P2,8.1
429,215,P1,9.8
430,215,P2,8.5
431,216,P1,5.8
432,216,P2,9.8
433,217,P1,4.0
434,217,P2,8.5
435,218,P1,3.0
436,218,P2,4.8
437,219,P1,9.1
438,219,P2,8.6
439,220,P1,6.2
440,220,P2,6.1
441,221,P1,7.5
442,221,P2,8.0
443,222,P1,5.3
444,222,P2,4.7
445,223,P1,5.8
446,223,P2,9.7
447,224,P1,8.7
448,224,P2,6.0
449,225,P1,7.6
450,225,P2,3.9
451,226,P1,6.4
452,226,P2,4.0
453,227,P1,3.5
454,227,P2,7.4
455,228,P1,3.0
456,228,P2,7.2
457,229,P1,5.7
458,229,P2,8.3
459,230,P1,6.9
460,230,P2,5.4
461,231,P1,5.0
462,231,P2,9.3
463,232,P1,6.7
464,232,P2,3.2
465,233,P1,3.7
466,233,P2,7.0
467,234,P1,6.0
468,234,P2,4.0
469,235,P1,4.4
470,235,P2,8.6
471,236,P1,10.0
472,236,P2,3.1
473,237,P1,6.5
474,237,P2,4.2
475,238,P1,7.0
476,238,P2,8.9
477,239,P1,3.1
478,239,P2,7.4
479,240,P1,8.5
480,240,P2,7.8
481,241,P1,4.5
482,241,P2,4.4
483,242,P1,7.7
484,242,P2,5.2
485,243,P1,6.0
486,243,P2,3.2
487,244,P1,4.3
488,244,P2,8.7
489,245,P1,9.2
490,245,P2,3.1
491,246,P1,9.8
492,246,P2,9.7
493,247,P1,8.0
494,247,P2,3.6
495,248,P1,6.6
496,248,P2,6.9
497,249,P1,3.5
498,249,P2,8.6
499,250,P1,5.3
500,250,P2,9.4
501,251,P1,7.0
502,251,P2,5.5
503,252,P1,7.7
504,252,P2,4.5
505,253,P1,4.3
506,253,P2,8.9
507,254,P1,7.2
508,254,P2,7.7
509,255,P1,7.4
510,255,P2,5.4
511,256,P1,3.6
512,256,P2,4.3
513,257,P1,9.7
514,257,P2,5.2
515,258,P1,4.2
516,258,P2,7.3
517,259,P1,4.9
518,259,P2,3.8
519,260,P1,8.0
520,260,P2,4.6
521,261,P1,8.9
522,261,P2,3.5
523,262,P1,9.4
524,262,P2,4.0
525,263,P1,6.3
526,263,P2,9.5
527,264,P1,9.5
528,264,P2,4.0
529,265,P1,7.7
530,265,P2,4.8
531,266,P1,3.2
532,266,P2,8.4
533,267,P1,8.2
534,267,P2,5.0
535,268,P1,5.5
536,268,P2,5.6
537,269,P1,8.8
538,269,P2,5.0
539,270,P1,8.6
540,270,P2,5.2
541,271,P1,9.0
542,271,P2,5.4
543,272,P1,4.1
544,272,P2,3.1
545,273,P1,8.2
546,273,P2,6.0
547,274,P1,6.2
548,274,P2,9.1
549,275,P1,9.0
550,275,P2,4.2
551,276,P1,3.0
552,276,P2,7.8
553,277,P1,3.7
554,277,P2,6.3
555,278,P1,6.6
556,278,P2,4.3
557,279,P1,9.1
558,279,P2,7.0
559,280,P1,9.3
560,280,P2,4.3
561,281,P1,5.1
562,281,P2,4.2
563,282,P1,6.8
564,282,P2,7.9
565,283,P1,4.3
566,283,P2,8.0
567,284,P1,4.3
568,284,P2,8.3
569,285,P1,6.1
570,285,P2,8.6
571,286,P1,8.3
572,286,P2,4.5
573,287,P1,8.7
574,287,P2,9.8
575,288,P1,8.0
576,288,P2,7.1
577,289,P1,5.7
578,289,P2,9.6
579,290,P1,3.0
580,290,P2,7.4
581,291,P1,8.6
582,291,P2,9.1
583,292,P1,5.9
584,292,P2,3.4
585,293,P1,8.2
586,293,P2,7.0
587,294,P1,5.9
588,294,P2,5.1
589,295,P1,8.0
